NUM_LANE, NUM_LANE_SELF, AVG_CAR_PER_SEC, SELF_RATIO, SELF_INIT_V, HUMN_INIT_V, queueSelf.size, queueHumn.size
4, 0, 2.4, 0.88, 28, 24, 1208, 154
4, 0, 2.6, 0.88, 28, 24, 1831, 264
4, 0, 2.8, 0.88, 28, 24, 2476, 329
4, 0, 3, 0.88, 28, 24, 3124, 409
4, 0, 3.2, 0.88, 28, 24, 3723, 533
4, 0, 3.4, 0.88, 28, 24, 4421, 565
4, 0, 3.6, 0.88, 28, 24, 5006, 677
4, 0, 3.8, 0.88, 28, 24, 5631, 779
4, 0, 4, 0.88, 28, 24, 6298, 835
4, 0, 4.2, 0.88, 28, 24, 6890, 972
4, 0, 4.4, 0.88, 28, 24, 7597, 979
4, 0, 4.6, 0.88, 28, 24, 8148, 1146
4, 0, 4.8, 0.88, 28, 24, 8807, 1193
4, 0, 2, 0.9, 28, 24, 1, 0
4, 0, 2.2, 0.9, 28, 24, 572, 80
4, 0, 2.4, 0.9, 28, 24, 1227, 130
4, 0, 2.6, 0.9, 28, 24, 1896, 195
4, 0, 2.8, 0.9, 28, 24, 2526, 287
4, 0, 3, 0.9, 28, 24, 3190, 346
4, 0, 3.2, 0.9, 28, 24, 3821, 425
4, 0, 3.4, 0.9, 28, 24, 4510, 463
4, 0, 3.6, 0.9, 28, 24, 5090, 600
4, 0, 3.8, 0.9, 28, 24, 5767, 657
4, 0, 4, 0.9, 28, 24, 6401, 732
4, 0, 4.2, 0.9, 28, 24, 7069, 803
4, 0, 4.4, 0.9, 28, 24, 7688, 890
4, 0, 4.6, 0.9, 28, 24, 8377, 916
4, 0, 4.8, 0.9, 28, 24, 9009, 997
4, 0, 2, 0.92, 28, 24, 2, 0
4, 0, 2.2, 0.92, 28, 24, 591, 50
4, 0, 2.4, 0.92, 28, 24, 1264, 100
4, 0, 2.6, 0.92, 28, 24, 1926, 161
4, 0, 2.8, 0.92, 28, 24, 2598, 210
4, 0, 3, 0.92, 28, 24, 3265, 261
4, 0, 3.2, 0.92, 28, 24, 3909, 339
4, 0, 3.4, 0.92, 28, 24, 4537, 423
4, 0, 3.6, 0.92, 28, 24, 5263, 426
4, 0, 3.8, 0.92, 28, 24, 5868, 533
4, 0, 4, 0.92, 28, 24, 6550, 571
4, 0, 4.2, 0.92, 28, 24, 7232, 613
4, 0, 4.4, 0.92, 28, 24, 7905, 668
4, 0, 4.6, 0.92, 28, 24, 8539, 759
4, 0, 4.8, 0.92, 28, 24, 9247, 770
4, 0, 2, 0.94, 28, 24, 3, 0
4, 0, 2.2, 0.94, 28, 24, 613, 36
4, 0, 2.4, 0.94, 28, 24, 1283, 88
4, 0, 2.6, 0.94, 28, 24, 1954, 133
4, 0, 2.8, 0.94, 28, 24, 2652, 155
4, 0, 3, 0.94, 28, 24, 3317, 201
4, 0, 3.2, 0.94, 28, 24, 3994, 245
4, 0, 3.4, 0.94, 28, 24, 4682, 283
4, 0, 3.6, 0.94, 28, 24, 5338, 346
4, 0, 3.8, 0.94, 28, 24, 6044, 366
4, 0, 4, 0.94, 28, 24, 6707, 427
4, 0, 4.2, 0.94, 28, 24, 7342, 498
4, 0, 4.4, 0.94, 28, 24, 8063, 506
4, 0, 4.6, 0.94, 28, 24, 8752, 526
4, 0, 4.8, 0.94, 28, 24, 9424, 584
4, 0, 2, 0.96, 28, 24, 0, 0
4, 0, 2.2, 0.96, 28, 24, 612, 30
4, 0, 2.4, 0.96, 28, 24, 1316, 52
4, 0, 2.6, 0.96, 28, 24, 1999, 87
4, 0, 2.8, 0.96, 28, 24, 2680, 122
4, 0, 3, 0.96, 28, 24, 3359, 159
4, 0, 3.2, 0.96, 28, 24, 4078, 177
4, 0, 3.4, 0.96, 28, 24, 4759, 207
4, 0, 3.6, 0.96, 28, 24, 5436, 244
4, 0, 3.8, 0.96, 28, 24, 6147, 244
4, 0, 4, 0.96, 28, 24, 6841, 286
4, 0, 4.2, 0.96, 28, 24, 7548, 300
4, 0, 4.4, 0.96, 28, 24, 8198, 361
4, 0, 4.6, 0.96, 28, 24, 8921, 367
4, 0, 4.8, 0.96, 28, 24, 9600, 405
4, 0, 2, 0.98, 28, 24, 1, 0
4, 0, 2.2, 0.98, 28, 24, 611, 18
4, 0, 2.4, 0.98, 28, 24, 1338, 22
4, 0, 2.6, 0.98, 28, 24, 2038, 47
4, 0, 2.8, 0.98, 28, 24, 2730, 61
4, 0, 3, 0.98, 28, 24, 3448, 76
4, 0, 3.2, 0.98, 28, 24, 4143, 94
4, 0, 3.4, 0.98, 28, 24, 4869, 92
4, 0, 3.6, 0.98, 28, 24, 5567, 113
4, 0, 3.8, 0.98, 28, 24, 6286, 116
4, 0, 4, 0.98, 28, 24, 6981, 139
4, 0, 4.2, 0.98, 28, 24, 7723, 133
4, 0, 4.4, 0.98, 28, 24, 8400, 161
4, 0, 4.6, 0.98, 28, 24, 9101, 176
4, 0, 4.8, 0.98, 28, 24, 9790, 215
4, 1, 2, 0, 28, 24, 0, 1860
4, 1, 2.2, 0, 28, 24, 0, 2574
4, 1, 2.4, 0, 28, 24, 0, 3290
4, 1, 2.6, 0, 28, 24, 0, 4025
4, 1, 2.8, 0, 28, 24, 0, 4738
4, 1, 3, 0, 28, 24, 0, 5457
4, 1, 3.2, 0, 28, 24, 0, 6176
4, 1, 3.4, 0, 28, 24, 0, 6893
4, 1, 3.6, 0, 28, 24, 0, 7615
4, 1, 3.8, 0, 28, 24, 0, 8338
4, 1, 4, 0, 28, 24, 0, 9054
4, 1, 4.2, 0, 28, 24, 0, 9778
4, 1, 4.4, 0, 28, 24, 0, 10494
4, 1, 4.6, 0, 28, 24, 0, 11220
4, 1, 4.8, 0, 28, 24, 0, 11943
4, 1, 2, 0.02, 28, 24, 0, 1705
4, 1, 2.2, 0.02, 28, 24, 0, 2414
4, 1, 2.4, 0.02, 28, 24, 0, 3140
4, 1, 2.6, 0.02, 28, 24, 0, 3833
4, 1, 2.8, 0.02, 28, 24, 0, 4518
4, 1, 3, 0.02, 28, 24, 0, 5226
4, 1, 3.2, 0.02, 28, 24, 0, 5967
4, 1, 3.4, 0.02, 28, 24, 0, 6656
4, 1, 3.6, 0.02, 28, 24, 0, 7357
4, 1, 3.8, 0.02, 28, 24, 0, 8048
4, 1, 4, 0.02, 28, 24, 0, 8763
4, 1, 4.2, 0.02, 28, 24, 0, 9495
4, 1, 4.4, 0.02, 28, 24, 0, 10172
4, 1, 4.6, 0.02, 28, 24, 0, 10919
4, 1, 4.8, 0.02, 28, 24, 0, 11617
4, 1, 2, 0.04, 28, 24, 0, 1544
4, 1, 2.2, 0.04, 28, 24, 0, 2254
4, 1, 2.4, 0.04, 28, 24, 0, 2936
4, 1, 2.6, 0.04, 28, 24, 0, 3659
4, 1, 2.8, 0.04, 28, 24, 0, 4326
